"bout","foragdiv_id","foragdata_id","date","timestart","timeend","where","canopy","kelptype","success","prey","number","size","qualifier","geometry","site"
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-1","mba-2016-07-07-sme-1108-SB1-1-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",8,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-10","mba-2016-07-07-sme-1108-SB1-10-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",1,2,"a",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-10","mba-2016-07-07-sme-1108-SB1-10-2",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",2,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-2","mba-2016-07-07-sme-1108-SB1-2-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",6,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-3","mba-2016-07-07-sme-1108-SB1-3-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",6,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-5","mba-2016-07-07-sme-1108-SB1-5-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","rcr",1,2,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-6","mba-2016-07-07-sme-1108-SB1-6-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",1,2,"a",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-7","mba-2016-07-07-sme-1108-SB1-7-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",4,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-8","mba-2016-07-07-sme-1108-SB1-8-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",19,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-07-sme-1108","mba-2016-07-07-sme-1108-SB1-9","mba-2016-07-07-sme-1108-SB1-9-1",2016-07-07,1899-12-31 11:08:00,1899-12-31 11:43:00,"e",0,"x","y","mus",11,1,"c",c(-121.906573980514, 36.6222101428359),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-1","mba-2016-07-11-jaf-947-SB1-1-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","kcr",1,2,"a",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-10","mba-2016-07-11-jaf-947-SB1-10-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",6,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-11","mba-2016-07-11-jaf-947-SB1-11-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","top",4,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-12","mba-2016-07-11-jaf-947-SB1-12-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",2,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-14","mba-2016-07-11-jaf-947-SB1-14-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",6,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-16","mba-2016-07-11-jaf-947-SB1-16-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",8,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-17","mba-2016-07-11-jaf-947-SB1-17-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",1,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-18","mba-2016-07-11-jaf-947-SB1-18-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",2,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-19","mba-2016-07-11-jaf-947-SB1-19-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",5,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-2","mba-2016-07-11-jaf-947-SB1-2-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","pur",2,1,"c",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-20","mba-2016-07-11-jaf-947-SB1-20-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",6,1,"a",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-21","mba-2016-07-11-jaf-947-SB1-21-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",5,1,"b",c(-121.919559586107, 36.6346807305824),NA
"mba-2016-07-11-jaf-947","mba-2016-07-11-jaf-947-SB1-22","mba-2016-07-11-jaf-947-SB1-22-1",2016-07-11,1899-12-31 09:47:00,1899-12-31 10:33:00,"k",1,"m","y","gas",6,1,"b",c(-121.919559586107, 36.6346807305824),NA
